dataset,predrule0,predimprt0,predrule1,predimprt1,same
openstack,IF app <= 2.0049999952316284 AND nrev > 3.8949999809265137 THEN defect = False,[0.12978290887256633],IF age > 1.8899999856948853 AND nrev > 6.2149999141693115 AND la <= 308.6650085449219 THEN defect = False,[0.11932257612606707],False
openstack,IF rrexp <= 652.9049987792969 AND rsawr > 0.7649999856948853 AND app > 1.774999976158142 THEN defect = False,[0.08262082579744386],IF nd > 1.5099999904632568 AND nrev > 2.9950000047683716 AND la <= 91.56999969482422 THEN defect = False,[0.08426232911080853],False
openstack,IF app <= 2.049999952316284 AND nrev > 2.875 AND app > 1.899999976158142 THEN defect = False,[0.14720693431802104],IF rtime <= 2.4950000047683716 AND asawr > 0.004999999888241291 THEN defect = False,[0.10842976294285249],False
openstack,IF app <= 3.1050000190734863 AND la <= 82.35499954223633 AND rsawr <= 0.5900000035762787 THEN defect = False,[0.09060259135701401],IF la > 293.77000427246094 AND rsawr > 0.19500000029802322 THEN defect = False,[0.2862022251180867],False
openstack,IF nrev <= 1.0199999809265137 THEN defect = False,[8.53393336648424e-24],IF app <= 1.0099999904632568 AND la <= 316.6699981689453 THEN defect = False,[8.250464878760287e-24],False
openstack,IF la > 19.34000015258789 AND rtime <= 11.900000095367432 AND age <= 16.485000610351562 THEN defect = False,[0.3568244850577476],IF asawr > 0.014999999664723873 AND la <= 89.44499969482422 THEN defect = False,[0.09721528049044204],False
openstack,IF app > 1.9900000095367432 AND app <= 2.024999976158142 AND nd > 1.850000023841858 THEN defect = False,[0.10825585083192155],IF nd > 1.8899999856948853 AND ent <= 0.9050000011920929 AND ent > 0.004999999888241291 THEN defect = False,[0.10548913634235715],False
openstack,IF rtime <= 7.305000066757202 AND la > 10.365000247955322 THEN defect = False,[0.3129220733730547],IF nrev > 1.9599999785423279 AND ent > 0.6449999809265137 AND la <= 31.719999313354492 THEN defect = False,[0.12333094523866979],False
openstack,IF app > 2.9950000047683716 AND rtime > -11.389999866485596 AND app <= 3.0049999952316284 THEN defect = False,[0.09946810637642561],IF app <= 3.084999918937683 THEN defect = False,[0.11864995641463154],False
openstack,IF app <= 3.09499990940094 AND age > 0.08500000089406967 THEN defect = False,[0.15400356666735104],IF ent <= 0.6800000071525574 AND la > 7.069999933242798 AND rsawr > 0.36500000953674316 THEN defect = False,[0.15360849458405051],False
openstack,IF app <= 5.960000038146973 AND rsawr <= 0.5849999785423279 AND age <= 10.790000438690186 THEN defect = False,[0.299219246734368],IF app <= 3.3950001001358032 AND age > 1.7350000143051147 THEN defect = False,[0.11474155055739517],False
openstack,IF app <= 4.420000076293945 AND ent > 0.11499999836087227 AND ent > 0.004999999888241291 THEN defect = False,[0.10490351968500555],IF nrev <= 2.2899999618530273 THEN defect = False,[0.11770901107967464],False
openstack,IF nrev > 1.125 AND ndev <= 46.040000915527344 AND age > 0.7649999856948853 THEN defect = False,[0.08965736815722772],IF rsawr <= 0.7249999940395355 AND ent <= 0.004999999888241291 THEN defect = False,[1.3294671093536046e-23],False
openstack,IF nd > 1.2649999856948853 AND ent > 0.009999999776482582 AND app > 1.7899999618530273 THEN defect = False,[0.11112967327384077],IF app <= 3.0049999952316284 THEN defect = False,[0.10905999880431232],False
openstack,IF app <= 4.690000057220459 AND rtime <= 130.99000549316406 AND la > 12.085000038146973 THEN defect = False,[0.2805214015313762],IF la <= 80.35499954223633 AND rtime > 3.930000066757202 THEN defect = False,[0.09940918260302867],False
openstack,IF rtime <= 75.81000137329102 AND age <= 4.075000047683716 AND nd <= 2.90500009059906 THEN defect = False,[0.09505145665302754],IF nrev > 1.0099999904632568 AND ndev > 0.2900000065565109 AND rtime > 0.0299999937415123 THEN defect = False,[0.10289724136199903],False
openstack,IF app > 3.9950000047683716 AND app > 0.9350000023841858 THEN defect = False,[0.35171962936835904],IF ndev > 101.56499862670898 AND app > 2.8249999284744263 AND age > 0.47999998927116394 THEN defect = False,[0.2869300929421226],False
openstack,IF la <= 88.91999816894531 AND nrev > 1.7999999523162842 AND nrev > 1.0049999952316284 THEN defect = False,[0.10134367382359932],IF asawr > 0.014999999664723873 AND la <= 83.27499771118164 AND rtime > -0.17999999970197678 THEN defect = False,[0.13390419021883332],False
openstack,IF asawr <= 0.054999999701976776 AND rrexp <= 818.8949890136719 AND rtime > -2.825000047683716 THEN defect = False,[0.09884135577306455],IF app <= 2.0049999952316284 AND app > 1.9350000023841858 AND asawr > -0.004999999888241291 THEN defect = False,[0.03364871650501492],False
openstack,IF age > 0.9749999940395355 AND ndev > 37.81500053405762 THEN defect = True,[0.1001554376999679],IF ndev > -5.68999981880188 AND nrev > 13.615000247955322 AND rtime <= 48.46500015258789 THEN defect = True,[0.08616795506028078],False
openstack,IF app > 1.9649999737739563 AND ent > 0.004999999888241291 AND nd > 1.3949999809265137 THEN defect = False,[0.08697814704755329],IF ndev > 14.949999809265137 THEN defect = False,[0.024180130491429995],False
openstack,IF la <= 229.73999786376953 THEN defect = False,[0.273106853456683],IF asawr > 0.014999999664723873 AND asawr > -0.20499999821186066 AND nd > 1.425000011920929 THEN defect = False,[0.13261837697015944],False
openstack,IF nrev > 1.0699999928474426 AND rsawr > 0.10500000044703484 AND rtime > -0.12000000476837158 THEN defect = False,[0.09757392262265598],IF app <= 3.049999952316284 AND app > 2.9850000143051147 AND la > 21.989999771118164 THEN defect = False,[0.028777392751815747],False
openstack,IF nrev > 1.0099999904632568 AND age > 1.8350000381469727 AND rtime > -1.7350000143051147 THEN defect = False,[0.11769172890094386],IF asawr > 0.004999999888241291 AND la <= 126.36999893188477 AND app <= 3.1449999809265137 THEN defect = False,[0.12215494309835523],False
openstack,IF rtime > 9.734999656677246 THEN defect = True,[0.09414778589713879],IF asawr > 0.004999999888241291 AND rsawr > 0.8050000071525574 THEN defect = True,[0.10552278775759202],False
openstack,IF age <= 41.35000038146973 AND nrev <= 3.024999976158142 AND nrev > 2.9950000047683716 THEN defect = False,[0.08617087453899577],IF rtime <= 7.419999837875366 AND nrev > 2.950000047683716 AND ent > 0.6650000214576721 THEN defect = False,[0.11669397413845874],False
openstack,IF nrev <= 4.019999980926514 AND asawr > 0.004999999888241291 AND app <= 5.789999961853027 THEN defect = False,[0.09820406411722747],IF rtime <= 28.199999809265137 AND ent <= 0.8949999809265137 AND la > 10.565000057220459 THEN defect = False,[0.12211102249102396],False
openstack,IF nrev > 1.0149999856948853 AND nrev > 1.7649999856948853 AND la <= 23.019999504089355 THEN defect = False,[0.2928000191776208],IF ent > 0.19999999552965164 AND ent > 0.004999999888241291 AND rsawr > 0.23499999940395355 THEN defect = False,[0.08186829951736771],False
openstack,IF rsawr <= 0.4950000047683716 AND rsawr <= 0.39499999582767487 AND la <= 196.44499969482422 THEN defect = False,[0.326760566238723],IF rrexp <= 1818.1500244140625 AND ent <= 0.9150000214576721 AND ndev > 37.71000099182129 THEN defect = False,[0.11706609466896233],False
openstack,IF ent <= 0.004999999888241291 AND ent <= 0.8949999809265137 THEN defect = False,[9.650039964028649e-24],IF ns <= 1.0199999809265137 AND ent <= 0.004999999888241291 THEN defect = False,[6.782017480555086e-24],False
openstack,IF asawr > -0.255000002682209 AND rrexp > 813.6449890136719 AND nrev <= 2.024999976158142 THEN defect = False,[0.1254214611023886],IF nrev <= 2.0049999952316284 AND nrev > 1.9049999713897705 THEN defect = False,[0.13499380528715754],False
openstack,IF la <= 39.39999961853027 AND rtime > 0.42000000178813934 AND rtime > 0.45000000298023224 THEN defect = False,[0.13647645391346278],IF nrev <= 2.024999976158142 AND nrev > 1.9600000381469727 THEN defect = False,[0.08672386000095335],False
openstack,IF nrev <= 2.1950000524520874 AND nrev <= 2.9100000858306885 THEN defect = False,[0.09354161080310451],IF la <= 93.375 AND app <= 2.0049999952316284 THEN defect = False,[0.08416408736513734],False
openstack,IF nd > 1.5600000023841858 AND ent <= 0.8949999809265137 THEN defect = False,[0.10993192742385142],IF la <= 89.10000228881836 AND rtime > 0.28999999910593033 AND nrev > 1.9900000095367432 THEN defect = False,[0.11051530872984903],False
openstack,IF rrexp <= 1274.0700073242188 AND rsawr > 0.33500000834465027 THEN defect = False,[0.1072993254764417],IF age <= 1.2400000095367432 AND nrev <= 2.8950001001358032 AND rsawr > 0.22500000149011612 THEN defect = False,[0.24734622397206785],False
openstack,IF rrexp > 1084.5799560546875 AND app > 2.7350000143051147 THEN defect = False,[0.027897387955520228],IF app <= 3.009999990463257 AND age > 0.4749999940395355 THEN defect = False,[0.124689737214455],False
openstack,IF la <= 162.47999572753906 AND rtime <= 2.6950000524520874 AND asawr > 0.024999999441206455 THEN defect = False,[0.10540236878687502],IF rtime > -0.4400000125169754 AND nd > 1.4800000190734863 THEN defect = False,[0.12863337241794526],False
openstack,IF rsawr > 0.06499999947845936 AND ent > 0.4350000023841858 AND nrev <= 3.0549999475479126 THEN defect = False,[0.10454557908308007],IF nrev <= 2.0049999952316284 AND nrev <= 2.9700000286102295 THEN defect = False,[0.10876485077201574],False
openstack,IF ndev > 54.53999900817871 AND rrexp > 1271.594970703125 AND rtime > 0.6599999964237213 THEN defect = False,[0.44508610439864255],IF rrexp > 1632.324951171875 AND rrexp > 1764.3049926757812 AND nrev > 2.784999966621399 THEN defect = False,[0.28074160329804987],False
openstack,IF nd > 1.5299999713897705 AND ent > 0.004999999888241291 AND ent <= 0.7549999952316284 THEN defect = False,[0.09458702724336791],IF app <= 3.2300000190734863 AND la > -140.27000427246094 AND app <= 3.9450000524520874 THEN defect = False,[0.09692143225982114],False
openstack,IF app > 1.524999976158142 AND la > 117.21000289916992 AND la > 100.31500244140625 THEN defect = False,[0.12067071946868761],IF rrexp > 166.9499969482422 AND la <= 38.60500144958496 THEN defect = False,[0.3139907751257855],False
openstack,IF nd > 1.5299999713897705 AND app <= 4.759999990463257 AND la <= 83.83499908447266 THEN defect = False,[0.11184183726706041],IF nd > 2.990000009536743 AND age > 0.375 AND rrexp <= 1485.8250122070312 THEN defect = False,[0.1513232785033113],False
openstack,IF la <= 58.30999946594238 AND rrexp > 98.83499908447266 AND rtime > -25.369999885559082 THEN defect = False,[0.32567354948303706],IF ent > 0.7350000143051147 AND rrexp > 629.5950012207031 THEN defect = False,[0.1473860180817239],False
openstack,IF la <= 69.15999984741211 THEN defect = False,[3.1151718154636948e-24],IF la <= 124.79000091552734 AND app <= 2.0049999952316284 THEN defect = False,[3.059553041389134e-24],False
openstack,IF ndev > 0.6449999809265137 AND ndev > 5.519999980926514 THEN defect = False,[0.32158913406041323],IF nrev <= 2.384999990463257 AND nrev <= 2.8149999380111694 AND app <= 7.5 THEN defect = False,[0.1238811342562701],False
openstack,IF nrev <= 2.024999976158142 AND asawr > 0.004999999888241291 THEN defect = False,[0.1069310348151444],IF nrev > 1.9950000047683716 AND rtime > -0.2900000065565109 AND rtime <= 2.5049999952316284 THEN defect = False,[0.11124817708692063],False
openstack,IF asawr > 0.014999999664723873 AND asawr > 0.03499999921768904 AND rrexp <= 1537.8699951171875 THEN defect = False,[0.11932000024667896],IF ndev <= 158.43499755859375 AND ndev <= 146.5449981689453 THEN defect = False,[0.11975989484135392],False
openstack,IF la > 10.894999980926514 AND app > 3.1049998998641968 AND nrev <= 5.974999904632568 THEN defect = True,[0.11131584926728018],IF rsawr > 0.29500000178813934 AND la <= 167.27999877929688 AND age > 1.3300000429153442 THEN defect = True,[0.10413873963594569],False
openstack,IF ent > 0.4449999928474426 AND ent > 0.004999999888241291 AND la > 14.220000267028809 THEN defect = True,[0.0904317120572779],IF age > 0.7400000095367432 AND app > 2.0449999570846558 AND nrev > 1.0049999952316284 THEN defect = True,[0.08678739573483873],False
openstack,IF asawr <= 0.9099999964237213 AND asawr <= 0.2750000059604645 AND ndev > 12.25 THEN defect = False,[0.11605533138644762],IF ent > 0.5450000166893005 AND rtime > -21.389999389648438 AND la <= 835.3249816894531 THEN defect = False,[0.09821667508809165],False
openstack,IF ent > 0.8550000190734863 AND rtime <= 3.059999942779541 AND rsawr > 0.4050000011920929 THEN defect = False,[0.09564585552821277],IF nrev > 1.0049999952316284 AND nd > 1.4200000166893005 AND nrev > 2.990000009536743 THEN defect = False,[0.09971219749685936],False
openstack,IF app > 2.9950000047683716 AND age <= 17.304999351501465 AND rrexp > 1009.7749938964844 THEN defect = False,[0.08748989039864113],IF la <= 192.08999633789062 AND rtime > 4.9599997997283936 THEN defect = False,[0.10324906931238516],False
openstack,IF ent <= 0.004999999888241291 AND la <= 33.39999961853027 THEN defect = False,[0.09777549567185274],IF ent > 0.009999999776482582 AND nrev <= 2.009999990463257 THEN defect = False,[0.13176962335083955],False
openstack,IF app > 1.9850000143051147 AND app <= 2.0199999809265137 AND rtime > 0.044999999925494194 THEN defect = False,[0.33047285690531386],IF rrexp <= 892.3250122070312 AND nrev > 3.965000033378601 THEN defect = False,[0.29653389671319924],False
openstack,IF age > -1.9149999618530273 AND app > 1.7799999713897705 AND age <= 8.004999876022339 THEN defect = False,[0.24688380960601058],IF age > 0.9449999928474426 AND la > 26.15499973297119 THEN defect = False,[0.12148855086544359],False
openstack,IF la <= 304.0850067138672 AND nrev > 2.9850000143051147 AND app > 1.4049999713897705 THEN defect = False,[0.032062413908495596],IF app <= 2.0049999952316284 AND la <= 234.30500030517578 AND age > 0.11500000208616257 THEN defect = False,[0.1293265185693003],False
openstack,IF rtime <= 118.375 AND app <= 2.0149999856948853 THEN defect = False,[0.2874692517954647],IF rrexp > 327.47999572753906 AND app > 1.9200000166893005 AND rtime > -215.20000457763672 THEN defect = False,[0.33484260090980816],False
openstack,IF la > 0.9850000143051147 AND age <= 5.7200000286102295 AND ent <= 0.8550000190734863 THEN defect = False,[0.1353873966688532],IF app <= 3.009999990463257 AND app > 2.990000009536743 AND ent <= 0.8449999988079071 THEN defect = False,[0.0990506009133424],False
openstack,IF ent <= 0.9549999833106995 AND ent <= 0.8449999988079071 AND rrexp <= 808.25 THEN defect = False,[0.1012690918666964],IF rtime <= 4.8450000286102295 AND rtime > -0.6649999916553497 AND app > 2.990000009536743 THEN defect = False,[0.0968609055642702],False
openstack,IF la <= 17.795000076293945 AND nrev <= 3.715000033378601 THEN defect = False,[0.0691078369149692],IF nrev <= 7.420000076293945 AND la > 12.585000038146973 AND nd <= 1.899999976158142 THEN defect = False,[0.09133671058570066],False
openstack,IF ent > 0.014999999664723873 AND nd > 1.5 AND app > 1.9900000095367432 THEN defect = False,[0.09504685475031742],IF nd > 1.5049999952316284 AND app > 1.9150000214576721 AND ent > 0.004999999888241291 THEN defect = False,[0.14440178723676145],False
openstack,IF age > 1.4800000190734863 AND ent <= 0.32500000298023224 AND app <= 2.9200000762939453 THEN defect = False,[0.09504823472789212],IF app <= 3.1049998998641968 AND app <= 3.4800000190734863 THEN defect = False,[0.13795273976374145],False
openstack,IF nrev <= 4.205000162124634 AND app > 2.009999990463257 THEN defect = False,[0.08687034381135271],IF nd > 1.625 AND app > 2.990000009536743 AND ent <= 0.925000011920929 THEN defect = False,[0.09553070998907007],False
openstack,IF rtime > 6.300000190734863 AND rtime > 5.710000038146973 AND ndev > 9.634999752044678 THEN defect = False,[0.10063655162630852],IF app <= 3.430000066757202 AND app <= 3.1299999952316284 THEN defect = False,[0.08081386612393196],False
openstack,IF ent > 0.004999999888241291 AND rtime > -13.71500015258789 AND app > 1.75 THEN defect = False,[0.4426005917387386],IF ent > 0.19500000029802322 AND ent > 0.004999999888241291 AND app > 1.7950000166893005 THEN defect = False,[0.10391002849503102],False
openstack,IF rtime > 7.1499998569488525 AND nrev > 1.0299999713897705 AND app <= 2.975000023841858 THEN defect = False,[0.11777237565453273],IF rrexp <= 1516.3599853515625 AND age > 0.03499999921768904 AND ent > 0.625 THEN defect = False,[0.30601407961265126],False
openstack,IF nrev > 1.9800000190734863 AND app > 2.9850000143051147 AND rtime <= 25.045000076293945 THEN defect = False,[0.10580897769498435],IF ent <= 0.8949999809265137 AND rtime > -5.630000114440918 THEN defect = False,[0.13343741700645395],False
openstack,IF nd > 1.7850000262260437 AND ent > 0.42499999701976776 AND rtime > -2.149999976158142 THEN defect = False,[0.10673637481615879],IF age <= 8.619999885559082 AND nd > 2.975000023841858 AND la > 11.300000190734863 THEN defect = False,[0.31603384554983516],False
openstack,IF ent <= 0.925000011920929 AND la > 10.09000015258789 AND age > 0.6450000107288361 THEN defect = False,[0.3059135657645762],IF ent > 0.7749999761581421 AND age <= 15.045000076293945 THEN defect = False,[0.10942228851544558],False
openstack,IF nd > 1.5299999713897705 AND ent > 0.004999999888241291 AND app > 1.7949999570846558 THEN defect = False,[0.21475728226763532],IF nrev > 2.8149999380111694 AND app <= 3.049999952316284 THEN defect = False,[0.33693566314391626],False
openstack,IF nrev > 1.9950000047683716 AND rtime > -0.8349999785423279 THEN defect = False,[0.14746622425611988],IF nrev > 1.0149999856948853 AND nrev > 1.9900000095367432 AND rtime > -4.335000038146973 THEN defect = False,[0.09307356169927124],False
openstack,IF app > 2.9850000143051147 AND rtime <= 54.25 AND nrev > 2.950000047683716 THEN defect = False,[0.10900856564895926],IF rrexp <= 1943.9149780273438 AND rtime > 0.2900000065565109 AND ent <= 0.9449999928474426 THEN defect = False,[0.11819173157248257],False
openstack,IF asawr <= 0.20499999821186066 AND ndev <= 47.18499946594238 AND ndev <= 34.329999923706055 THEN defect = False,[0.11949728341295354],IF rtime <= 2.549999952316284 AND age <= 11.625 THEN defect = False,[0.11770905526952012],False
openstack,IF nrev > 1.9450000524520874 AND rtime > 0.5699999928474426 AND nrev > 1.0049999952316284 THEN defect = False,[0.1525094894570801],IF nrev > 1.0149999856948853 AND nrev <= 2.0299999713897705 AND nrev > 1.9700000286102295 THEN defect = False,[0.25176945913805576],False
openstack,IF ent <= 0.004999999888241291 AND app <= 2.9550000429153442 AND app <= 2.975000023841858 THEN defect = False,[0.020115318235456713],IF rsawr > 0.39499999582767487 AND nd <= 1.0099999904632568 THEN defect = False,[0.0788003180445319],False
openstack,IF ent <= 0.7199999988079071 AND ent > 0.004999999888241291 AND app > 1.9300000071525574 THEN defect = False,[0.12979968159607963],IF rtime > -11.019999980926514 AND nrev <= 2.0299999713897705 AND ent > 0.004999999888241291 THEN defect = False,[0.0863273357878839],False
openstack,IF la <= 94.18999862670898 AND nrev > 3.9850000143051147 AND nd > 1.3650000095367432 THEN defect = False,[0.10681834312351435],IF ndev > 15.03499984741211 AND app <= 3.9850000143051147 AND app <= 3.0399999618530273 THEN defect = False,[0.11585470198507379],False
openstack,IF ent > 0.39499999582767487 AND nrev > 1.0149999856948853 AND rtime <= 7.235000133514404 THEN defect = True,[0.059698426891224475],IF nd > 3.3950001001358032 AND ndev > 19.145000457763672 AND nd > 3.534999966621399 THEN defect = True,[0.07778880982610356],False
openstack,IF ndev > -29.360000610351562 AND rtime > -0.34500000439584255 AND rsawr <= 0.4749999940395355 THEN defect = False,[0.11922183575583221],IF age > 0.13500000163912773 AND rtime > 14.809999942779541 THEN defect = False,[0.10002240203987058],False
openstack,IF ent > 0.014999999664723873 AND nrev <= 2.009999990463257 THEN defect = False,[0.1595205279530022],IF nrev <= 2.0049999952316284 AND ent > 0.004999999888241291 AND nrev <= 4.4150002002716064 THEN defect = False,[0.09329762096317659],False
openstack,IF app > 3.9199999570846558 AND nrev > 2.9950000047683716 THEN defect = False,[0.10647295760866914],IF ndev > 8.53499984741211 AND rtime > 3.915000081062317 THEN defect = False,[0.37067142110291673],False
openstack,IF rsawr > 0.23499999940395355 AND la <= 240.71499633789062 AND rrexp > 352.0249938964844 THEN defect = False,[0.3154225932311688],IF ndev > 11.130000114440918 AND la > 5.349999904632568 THEN defect = False,[0.06473380649628264],False
openstack,IF app <= 2.3149999380111694 AND la > 14.53499984741211 AND app <= 2.9950000047683716 THEN defect = False,[0.3372763804336002],IF la <= 49.07500076293945 AND app <= 2.0049999952316284 AND app > 1.9800000190734863 THEN defect = False,[0.08918623044954778],False
openstack,IF ent > 0.03499999921768904 AND nd > 1.5049999952316284 AND ndev > 9.949999809265137 THEN defect = False,[0.11943087132754011],IF ndev <= 85.98500061035156 AND ent <= 0.42499999701976776 AND rrexp <= 2789.60498046875 THEN defect = False,[0.11525967830556184],False
openstack,IF app <= 3.9950000047683716 AND ent <= 0.9549999833106995 AND app <= 2.0049999952316284 THEN defect = False,[0.10295238713397237],IF rtime > -1.7699999809265137 AND app > 2.9850000143051147 AND ent <= 0.9850000143051147 THEN defect = False,[0.10240044736999854],False
openstack,IF nrev <= 2.034999966621399 AND la <= 90.76499938964844 AND nrev <= 2.9600000381469727 THEN defect = False,[0.1006588811298751],IF nd > 1.9950000047683716 AND nrev > 1.0049999952316284 AND ent <= 0.7749999761581421 THEN defect = False,[0.1116107597783186],False
openstack,IF age > 0.5699999928474426 AND la <= 127.0 AND age > 5.485000133514404 THEN defect = False,[0.02811399507056499],IF nrev <= 2.0299999713897705 AND asawr > 0.004999999888241291 AND ent > 0.004999999888241291 THEN defect = False,[0.10812002027356751],False
openstack,IF la > 20.735000610351562 AND asawr > -0.024999999441206455 AND nrev <= 4.7850000858306885 THEN defect = False,[0.10684157308670339],IF nd <= 6.674999952316284 AND rtime > 12.90999984741211 THEN defect = False,[0.10493190019699998],False
openstack,IF ent <= 0.9750000238418579 AND nd > 1.5049999952316284 AND age > 0.2149999961256981 THEN defect = False,[0.13466823853802345],IF app > 1.9599999785423279 AND app <= 2.0049999952316284 AND ent <= 0.9549999833106995 THEN defect = False,[0.11615519698951503],False
openstack,IF nd > 1.5800000429153442 AND app > 2.909999966621399 AND la <= 35.22999954223633 THEN defect = False,[0.11381339525972423],IF rtime > -0.7349999845027924 AND nrev > 1.9950000047683716 AND nrev > 0.9300000071525574 THEN defect = False,[0.3524149599746848],False
openstack,IF rrexp <= 483.24000549316406 AND app <= 2.009999990463257 AND nrev > 1.0049999952316284 THEN defect = False,[0.08903278646495241],IF app > 1.8550000190734863 AND la > 11.110000133514404 THEN defect = False,[0.09215192879172272],False
openstack,IF rtime > 6.3999998569488525 AND rrexp > 535.1050109863281 AND asawr <= 0.014999999664723873 THEN defect = False,[0.12571251799863634],IF asawr <= 0.024999999441206455 AND rsawr > 0.11499999836087227 AND rsawr <= 0.3050000071525574 THEN defect = False,[0.30266779906087743],False
openstack,IF age > 2.740000009536743 THEN defect = False,[0.07242006509915505],IF rtime <= 9.430000305175781 AND nrev > 1.9350000023841858 THEN defect = False,[0.08942413047646644],False
openstack,IF la <= 30.744999885559082 AND rtime > 2.2949999570846558 THEN defect = False,[0.13086773599741996],IF nd > 1.5099999904632568 AND la <= 81.05500030517578 THEN defect = False,[0.11064811724486921],False
openstack,IF app <= 2.1049998998641968 AND la <= 105.20500183105469 AND ndev <= 23.475000381469727 THEN defect = False,[0.11750197866718907],IF rsawr <= 0.9549999833106995 AND nrev <= 1.0149999856948853 THEN defect = False,[0.2611202182403116],False
openstack,IF app <= 3.940000057220459 AND nd > 1.4950000047683716 AND ent <= 0.8949999809265137 THEN defect = False,[0.13525310083215716],IF rtime <= 8.945000171661377 AND nrev > 2.9700000286102295 AND app > 2.9950000047683716 THEN defect = False,[0.12984397229903538],False
openstack,IF rtime > -2.25 THEN defect = False,[0.12065459925260415],IF nrev > 1.0299999713897705 AND la <= 44.125 AND nrev > 1.8300000429153442 THEN defect = False,[0.022590805846246058],False
openstack,IF rtime <= 4.245000123977661 AND rtime <= 26.289999961853027 THEN defect = False,[0.08855845062998216],IF rtime > -5.109999895095825 AND nrev > 2.990000009536743 AND app > 1.725000023841858 THEN defect = False,[0.08983956117314731],False
openstack,IF nrev > 1.9800000190734863 AND nrev <= 2.009999990463257 AND nrev > 1.0149999856948853 THEN defect = False,[0.028713942415318636],IF la <= 185.2249984741211 AND rtime > -1.4350000023841858 THEN defect = False,[0.08925990170902273],False
